Image_Name
img_0_0_6
img_0_0_6
img_0_0_6
img_0_0_10,2756.0,1504.0,454.0
img_0_0_11,2508.0,2798.0,2752.0
img_0_0_6
img_0_0_7,4098.0,1878.0
img_0_0_8,4098.0,3770.0,3110.0,516.0,1162.0,3960.0
img_0_0_9,3776.0,516.0,524.0,1166.0,3114.0,1680.0,454.0
